library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1892,秋,词章,"1892年秋词章获奖课艺",①经学超、王有德、凌云,清,"①经学超等：王有德、凌云、丁同方、陈祺寿、汪开祉、许克勤； 特等：于鬲、施世杰、方尔咸、赵多祝、彭述古、刘邦霖；一等：杨誉龙、 何榕、金大澄、陆玉书、宋焕、郭锡恩、王元文、钱文霈、蒋鹏绰、潘任、",
课艺库,求志书院,1892,冬,舆地,"1892年冬舆地获奖课艺",许克勤、潘敦先、谢崇钧,清,"希；特等：许克勤、潘敦先、谢崇钧、孙同康、储息杉、钱文霈；一等：吴 佐清、丁同方、吴兆麒、毛鸿达、季鸿熙、康宜鉴。",
课艺库,求志书院,1894,春,算学,"1894年春算学获奖课艺",思曾、王思聪。,清,"思曾；一等：王思聪。",
课艺库,求志书院,1894,春,词章,"1894年春词章获奖课艺",施世杰、吴兆麟、汪锡祺,清,"超等：施世杰、吴兆麟；特等：汪锡祺、吴眺；一等：汪一鹤、黄尔  谦、丁同方、于鬲、孙德准、郭锡恩、黄润璋、孙人璋、乐以成、吴燮森。 (1896.2.4第8190号第三版)",
课艺库,求志书院,1894,夏,词章,"1894年夏词章获奖课艺",许克勤、许毓麟、李鼎颐,清,"超等：许克勤、许毓麟、李鼎颐；特等：吴佐清、吴兆麟、黄尔训；一 等：黄润璋、顾仰基。(1896.2.4第8190号第三版)",
课艺库,求志书院,1895,冬,词章,"1895年冬词章获奖课艺",储桂山、金洪淦、耿觐文,清,"超等：储桂山、金洪淦、耿觐文；特等：吴兆麒、章震福、施世杰、王 衡龄；一等：耿燕春、张锡琪、张茂清、张端甫。(1897.2.11第8554号 第三版)",
课艺库,求志书院,1895,夏,掌故,"1895年夏掌故获奖课艺",顾仰基。,清,"一等：顾仰基。",
课艺库,求志书院,1895,秋,掌故,"1895年秋掌故获奖课艺",四名施世、第五名潘、敦先,清,"四名施世杰、第五名潘敦先、第六名王岱龄、第七名陈宏寿、第八名储 桂山、第九名李宝铸、第十名项丹联；特等：第一名钱世清、第二名李 端概、第三名季栋、第四名许子麟、第五名张锡琪、第六名陈宗寿、第 七名项藻馨、第八名顾仰基；一等：第一名丁桂琪、第二名萧職。",
课艺库,求志书院,1895,春,词章,"1895年春词章获奖课艺",钱汝霖、李鼎颐、钱文霈,清,"超等：钱汝霖、李鼎颐、钱文霈、储桂山、章震福；特等：何长庆、吴  兆璜、丁桂琪、姚元揆、余宏淦、章士俊； 一等：王恒龄、俞作梁、文国  华、金英元、耿觐文、沈选璜、丁逢甲、朱景祺、倪保、朱景陶、张端甫、 张石玖、汪锡祺、张锡琪、汪锡铭。(1899.9.27第9502号第九版)",
课艺库,求志书院,1895,冬,词章,"1895年冬词章获奖课艺",许渠斩、邹应苍、何长庆,清,"超等：许渠斩、邹应苍、何长庆；特等：吴兆麒、庄学忠、钱淦；一 等：丁桂琪、丁逢甲、吴祖芬、刘鼎臣、耿觐文。(1899.9.27第9502号 第九版)",
