library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1880,夏,舆地,"朱逢甲,杨应环；一等：施恩绶,戴树圭,杜史琪；不 取：徐廷栋,沈汉槎,吴荣森,钱衡拔,李钟淦,周家鼎,陆增甲,朱芬 荃,戴鳞,张国桢,许度尧,尹熙栋,陆珩,陶承侃,陶忠讷,康宜鉴,陶 承潞,浦昌楣,季",康；特等：程理镛,清,"鸿熙。共花红银一百二十七两三钱。(1882.2.4第 3150号第二版)",
课艺库,求志书院,1880,秋,算学,"句股形求二角，法以倍股或倍句为一率，句股幂相减，以句或股 除之为二率，半径为三率，得四率为二角之较弧正切；前题较弧正切 倍之，即句旁角股、旁角两正切之较，试证之；",未知,清,"句股形求二角，法以倍股或倍句为一率，句股幂相减，以句或股 除之为二率，半径为三率，得四率为二角之较弧正切；前题较弧正切 倍之，即句旁角股、旁角两正切之较，试证之；",
课艺库,求志书院,1880,秋,词章,"章家祚,戴麟,杨应环,钱衡拔,陈曾彪。(1882.",逢甲；一等：李钟淦,清,"章家祚,戴麟,杨应环,钱衡拔,陈曾彪。(1882.",
课艺库,求志书院,1882,夏,算学,"韩恩荣；特等：孙斌翼,陈铨衡,蒋学慈；一等：李云飞,程之骥,蒋 维城,倪本怀,钱来青,朱璟,邱常,梁元海。",祺,清,"韩恩荣；特等：孙斌翼,陈铨衡,蒋学慈；一等：李云飞,程之骥,蒋 维城,倪本怀,钱来青,朱璟,邱常,梁元海。",
课艺库,求志书院,1882,夏,舆地,"O  词章 超等：钱衡拔、杜史琪、严祥彬；特等：戴树圭、程理镛、 张人龙；一等：杨应环、陆珩、陈曾彪、吴庆祥；不取：康宜鉴、吴荣森、 季鸿熙。(1883.2.5第3510号第三版)",未知,清,"O  词章 超等：钱衡拔、杜史琪、严祥彬；特等：戴树圭、程理镛、 张人龙；一等：杨应环、陆珩、陈曾彪、吴庆祥；不取：康宜鉴、吴荣森、 季鸿熙。(1883.2.5第3510号第三版)",
课艺库,求志书院,1882,冬,词章,"〇经学超等：朱逢甲、王光熊、许克勤、王廷鼎、陶忠诰、汪开 祉；特等：叶秉钧、陈绍昌、葛士浚、陶承澍、徐森、孙传恩；一等：钱润 道、潘豫谷、陶承潞、欧阳鼎、倪承瓒、毕光祖。",未知,清,"〇经学超等：朱逢甲、王光熊、许克勤、王廷鼎、陶忠诰、汪开 祉；特等：叶秉钧、陈绍昌、葛士浚、陶承澍、徐森、孙传恩；一等：钱润 道、潘豫谷、陶承潞、欧阳鼎、倪承瓒、毕光祖。",
课艺库,求志书院,1883,春,算学,"欲造句股形，令三事俱得整数，法任取便为除法之小数为句弦 较，取大数为股，又法任取一数为句弦较，以其若干倍为股，又法任取 大数乘小数为股小数，自乘为句弦较，或小数为句弦较，又或大数为 句弦较，俱以有股、",未知,清,"有句弦较之法求得句弦，试论诸法熟便；又或谓两 数有等者，以大数为股，小数为句弦较，此说何如?",
课艺库,求志书院,1883,冬,词章,"张联甲,韩柳文,金健行,吴荣森,屈念祖,顾行。以上共计花红 银一百三十四两七钱，发上儒学转给。(1884.7.8第4035号第二版)",玉庭,清,"张联甲,韩柳文,金健行,吴荣森,屈念祖,顾行。以上共计花红 银一百三十四两七钱，发上儒学转给。(1884.7.8第4035号第二版)",
课艺库,求志书院,1884,春,词章,"○经学超等：蔡维馨,朱逢甲,蔡维芳,许克勤,许文蔚,王廷 鼎；特等：陶承潞,汪开祉,陶忠讷,金昌,陶忠诰,于鬯；一等：王光熊, 徐乃柚,徐树百,倪承瓒,沈树昌,金承熙,吴寿萱,金文梁,陈震,朱映 奎,",,清,"张高瀛,陶承侃。",
课艺库,求志书院,1884,夏,词章,"《禽虫》诗十二章；拟东坡《三适》诗均用原韵，旦起理发、午窗坐睡、夜卧濯 足。(1884.6.29第4026号第二、三版)",未知,清,"《禽虫》诗十二章；拟东坡《三适》诗均用原韵，旦起理发、午窗坐睡、夜卧濯 足。(1884.6.29第4026号第二、三版)",
