library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,十九年,冬,算学,"○经学十题：大衍之数五十、其用四十有九解；《禹贡》田赋说； 发解；螟螣蟊贼说；奄有上士辨；子男执璧辨；释站；释旅；九鼎始末  考；《孝经 ·庶人章》不引《诗》说。",未知,清
课题库,求志书院,十九年,春,算学,"◎史学十题：王恢韩安国论击匈奴论；司马相如开西南夷论；唐 代用蕃将论；宋绍兴中立守令垦田殿最格论；唐节度军名考；宋史饶 州信州瞻铜考；书宋孙甫《唐史论断》后；书宋葛洪《涉史随笔》后；《七 略》《史记》附《春秋》说；史官权重宰相说。",未知,清
课题库,求志书院,十九年,春,算学,"○掌故之学八题：大一统说；宅中驭外说；树木说；畜牧议；以工 代赈议；问赈米与赈粥孰善；书孙文定《南游记》后；书《海国图志》后。",未知,清
课题库,求志书院,十九年,春,算学,"平圆内作相交二线，或正交，或斜交，任交何点，令线端均抵圆 界，则分二线为四截，而此线两截相乘必与彼线两截相乘等，作比例 图以明之；",未知,清
课题库,求志书院,十九年,春,算学,"今有数为甲，置甲加三，以甲乘之复加三，又以甲乘之复加一，开 立方得数，或置甲加一，以甲乘之，又以甲加一，及甲加二，递乘之，复 以甲加一 自乘之数加之开三乘方，得数，问两开得数，比甲大几何? 以廉隅之理解之；",未知,清
课题库,求志书院,十九年,春,算学,"倍弦为首率，弦和和为中率，求得末率。以中率减之，或以弦和",未知,清
课题库,求志书院,十九年,春,算学,"较为中率，求得末率，以中率加之，问加减所得为何数?",未知,清
课题库,求志书院,十九年,春,算学,"弦与句股和比，若容方边与垂线比，试为图解；",未知,清
课题库,求志书院,十九年,春,算学,"句弦和、股弦和相乘为首率，以单一为方边，求得斜，句股相乘， 又以斜乘之为中率，得末率为弦和较之自乘数，试证之；",未知,清
课题库,求志书院,十九年,春,算学,"立圆皮积上作诸距等圈，令成相连比例，知立圆径，求诸圈相距 之弧 ；",未知,清
课题库,求志书院,十九年,春,算学,"有大小两弧之两正弦较及两余弦和，有圆径，求两弧正余弦法。 以和幂加较幂为法，和幂乘圆径幂为实，法除实复以和幂减之开平方  得两正弦和，以代数证之；",未知,清
课题库,求志书院,十九年,春,算学,"有半径有大小两弧之两切较及两割和，或有两切和及两割较，求 两弧割切；",未知,清
课题库,求志书院,十九年,春,算学,"椭圆内容正方形，令方面与长短径平行，法以长短径相乘为实， 以长短径名自乘相加开平方为法，法除实得方面，试言其理；",未知,清
课题库,求志书院,十九年,春,算学,"半椭圆内容正方形，令方面与短径相切，法以长短径相乘为实， 长径幂加四段短径幂开平方为法，法除实得方面，试申其理。",未知,清
课题库,求志书院,十九年,春,算学,"○舆地之学十题：开人说；伏流说；分野不足据说；史迁志河渠不 志郡国说；周召分陕论；萧何收秦图籍论；三天子障考；秦平百越增置 四郡论；书欧阳修《五代史职方考》后；朝鲜道府郡州县统属表。",未知,清
课题库,求志书院,十九年,春,算学,"○词章之学六题：青女乃出以降霜雪赋以青皇之女主霜雪也为韵； 黄棉袄子歌七古不限韵；咏雪八首各七律一首，平野、深山、僧庐、村店、渔  舟、毳幕、书斋、绣闼；清奇古怪四首用白香山一字至七字诗体；水仙花五言 一首用皮、陆一句平一句仄相间体；《权德舆集》有五言古诗，每句藏一古  人姓名，戏仿其体。(1877. 12. 15第1733号第二版)",未知,清
课题库,求志书院,十九年,春,算学,"上海求志书院戊寅(1878)春季课题",未知,清
课题库,求志书院,十九年,春,算学,"◎经学十二题：束帛戈戈解；汝作朕虞解；左宜右有解；梦帝与我 九龄解；《禹贡》三条四列说；常棣列于文王之诗说；郑康成以九一什 一解周人彻法说；古祭祀之乐不用商声说；说新旧；说难易；家字形声",未知,清
课题库,求志书院,十九年,春,算学,"考；笑字形声考。",未知,清
课题库,求志书院,十九年,春,算学,"○史学十二题：史分左右说；战国犹存史职说；《战国策》录而不 叙说；《史记》《汉书》分两家说；扬子云生卒考；文中子行事考；李邺 侯、陆宣公论；张魏公比诸葛武侯论；论国势内重外重；论割地和亲岁 币；读晁错《论贵粟疏》;读贾捐之《弃珠屋对》。",未知,清
课题库,求志书院,十九年,春,算学,"○掌故之学八题：内阁军机分合考；理藩院职掌考；西域屯田议； 察哈尔牧场议；论长江水师；拟请再减江苏田赋疏；守边策；赈荒策。",未知,清
课题库,求志书院,十九年,春,算学,"句股容圆，自圆心至三角各作分角线，以句弦较与弦，或股弦较 与弦，或句弦较与股弦较，各为首末率，则分角线各为中率，以代数 证之；",未知,清
课题库,求志书院,十九年,春,算学,"自股旁角作分角线至句，自之，股幂减之开平方得小差股，自句  旁角作分角线至股，自之，句幂减之开平方得大差句，以海镜图证之；",未知,清
课题库,求志书院,十九年,春,算学,"边股、底句、明股、重句四数连乘，开三乘方得半城径，试证之；",未知,清
课题库,求志书院,十九年,春,算学,"平三角以三边两两相加为和，相减为较，有两角，有两边和，或两 边较，求三边；又有一角，有两和，或两较，或一和一较，求三边，各为 术解 ；",未知,清
课题库,求志书院,十九年,春,算学,"两边夹一角，法以半径为一率，夹角余弦倍之为二率，小边为三 率，得四率，与大边相减，复以大边乘之，用以加减小边之自乘数，开 平方得对角之边，试演细草；",未知,清
课题库,求志书院,十九年,春,算学,"任取两弧弦割相比，则此弧余割与彼弧余割比，若彼弧正弦与此 弧正弦比，以代数或作图明之；",未知,清
